CustomerID,CustomerTypeID,CustomerRelationshipTypeID,DateOfBirth,CustomerEstablishedDate,IsActive,FirstName,LastName,Gender,PrimaryPhone,SecondaryPhone,PrimaryEmail,SecondaryEmail,CreatedBy
CID-001,Individual,VIP,3/18/1960,2/8/2021,TRUE,Tsehayetu,Abera,Female,(985) 555-0158,,tsehayetu@contoso.com,,Sales
CID-002,Government,Local,1/14/1960,5/19/2018,FALSE,Antra,Abola,Female,(765) 555-0191,(470) 555-0206,antra@contoso.com,,Services
CID-003,Business,SMB,12/28/1964,9/22/2020,TRUE,Ida,Abolina,Female,(717) 555-0103,,ida@contoso.com,,Sales
CID-004,Individual,Standard,5/11/1996,3/11/2019,TRUE,Deniz,Acar,Male,(952) 555-0195,,deniz@contoso.com,,Sales
CID-005,Individual,Premium,12/7/1976,5/24/2019,TRUE,Guner,Aktas,Male,(843) 555-0165,,guner@contoso.com,,Sales
CID-006,Individual,VIP,4/29/1950,9/30/2018,TRUE,Danaite,Alemseged,Female,(959) 555-0102,,danaite@contoso.com,,Sales
CID-007,Individual,Standard,2/1/1986,1/27/2021,TRUE,Asmerom,Ambaye,Male,(860) 555-0107,(701) 555-0262,asmerom@contoso.com,,Sales
CID-008,Business,SMB,12/30/1957,4/14/2018,TRUE,Kiana,Anderson,Female,(941) 555-0114,,kiana@contoso.com,,Sales
CID-009,Individual,Standard,10/2/1964,5/22/2021,FALSE,Jakob,Anhalt,Male,(657) 555-0130,,jakob@contoso.com,,Sales
CID-010,Business,Partner,2/3/1986,2/1/2020,TRUE,Elisabeth,Arcouet,Female,(740) 555-0144,,elisabeth@contoso.com,,Sales
CID-011,Individual,Premium,4/29/1953,2/26/2020,TRUE,Enric,Argilaguet,Male,(914) 555-0170,,enric@contoso.com,,Sales
CID-012,Government,State,5/12/1970,6/14/2018,TRUE,Ernest,Arquimbau,Male,(469) 555-0156,,ernest@contoso.com,,Services
CID-013,Business,SMB,9/10/1955,5/2/2020,TRUE,Murat,Arslan,Male,(956) 555-0173,,murat@contoso.com,,Sales
CID-014,Individual,Standard,4/5/1960,6/4/2019,FALSE,Winta,Asemelash,Female,(816) 555-0117,,winta@contoso.com,,Sales
CID-015,Individual,Standard,3/13/1950,10/11/2018,TRUE,Gokce,Aslan,Female,(731) 555-0192,(508) 555-0213,gokce@contoso.com,,Sales
CID-016,Individual,Standard,2/4/1969,6/1/2019,TRUE,Abbi,Atkins,Female,(330) 555-0197,,abbi@contoso.com,,Sales
CID-017,Individual,VIP,9/16/1962,10/19/2019,TRUE,Diana,Aunina,Male,(657) 555-0144,,diana@contoso.com,,Sales
CID-018,Individual,Premium,9/15/1953,9/5/2019,TRUE,Nils,Aunins,Female,(609) 555-0168,,nils@contoso.com,,Sales
CID-019,Individual,VIP,4/12/1975,6/13/2018,TRUE,Claude,Aupry,Male,(516) 555-0103,,claude@contoso.com,,Services
CID-020,Individual,VIP,5/11/1941,3/5/2018,TRUE,Hasan,Aydin,Male,(425) 555-0122,,hasan@contoso.com,,Sales
CID-021,Individual,Premium,8/31/1960,1/19/2021,TRUE,Jonas,Baar,Male,(207) 555-0131,(314) 555-0277,jonas@contoso.com,,Sales
CID-022,Individual,Premium,2/25/1935,2/14/2021,TRUE,Anna,Baginska,Female,(478) 555-0117,,anna@contoso.com,,Sales
CID-023,Individual,VIP,11/8/1995,9/24/2018,TRUE,Georgijs,Baltins,Male,(925) 555-0139,(251) 555-0214,georgijs@contoso.com,,Sales
CID-024,Individual,Premium,5/19/1924,3/9/2021,TRUE,Malik,Barden,Male,(434) 555-0172,,malik@contoso.com,,Sales
CID-025,Individual,Standard,11/2/1989,9/3/2018,TRUE,Carmelo,Barese,Male,(815) 555-0173,(405) 555-0202,carmelo@contoso.com,,Sales
CID-026,Business,SMB,1/26/1958,1/30/2019,TRUE,Rebecca,Baresi,Female,(773) 555-0105,,rebecca@contoso.com,,Sales
CID-027,Individual,Standard,5/5/1993,4/21/2019,TRUE,Genevieve,Beauchesne,Female,(503) 555-0162,,genevieve@contoso.com,,Sales
CID-028,Individual,VIP,1/9/1976,9/3/2020,TRUE,Claude,Beaulieu,Female,(478) 555-0110,(716) 555-0231,claude@contoso.com,claude@fabrikam.com,Sales
CID-029,Individual,Premium,11/10/1929,4/22/2021,TRUE,Robin,Becker,Male,(434) 555-0103,,robin@contoso.com,,Sales
CID-030,Individual,Standard,1/24/1981,11/9/2020,TRUE,Noel,Belisle,Male,(989) 555-0182,,noel@contoso.com,,Sales
CID-031,Individual,Premium,6/13/1964,7/12/2019,TRUE,Omar,Bennett,Male,(775) 555-0169,(267) 555-0261,omar@contoso.com,,Sales
CID-032,Individual,Premium,9/9/1952,10/14/2020,TRUE,Kahsay,Bereket,Male,(973) 555-0121,(440) 555-0281,kahsay@contoso.com,,Sales
CID-033,Individual,Standard,2/11/1962,6/1/2020,TRUE,Eden,Berhe,Female,(720) 555-0183,,eden@contoso.com,,Sales
CID-034,Government,Local,11/28/1996,5/27/2018,TRUE,Marie,Berthelette,Female,(608) 555-0110,,marie@contoso.com,,Services
CID-035,Government,State,9/2/1996,10/28/2019,TRUE,Pol,Bertolich,Male,(870) 555-0102,,pol@contoso.com,pol@fabrikam.com,Services
CID-036,Business,SMB,8/25/1990,8/20/2021,TRUE,Francesca,Bianchi,Female,(401) 555-0186,,francesca@contoso.com,,Sales
CID-037,Individual,Premium,8/28/1965,9/12/2019,TRUE,Jausma,Bite,Male,(920) 555-0196,(769) 555-0277,jausma@contoso.com,,Sales
CID-038,Individual,Premium,11/5/1991,3/30/2020,TRUE,Ales,Bizjak,Male,(224) 555-0172,,ales@contoso.com,,Sales
CID-039,Individual,VIP,6/5/1981,5/13/2020,TRUE,Jana,Blazkova,Female,(940) 555-0173,,jana@contoso.com,,Sales
CID-040,Individual,Premium,12/5/1986,8/5/2019,TRUE,Emma,Blug,Female,(409) 555-0146,,emma@contoso.com,,Sales
CID-041,Individual,Premium,8/13/1928,10/19/2020,TRUE,Gilbert,Bonsaint,Male,(352) 555-0146,,gilbert@contoso.com,gilbert@fabrikam.com,Sales
CID-042,Individual,VIP,3/26/1970,11/26/2019,TRUE,Wojciech,Borkowski,Male,(904) 555-0186,,wojciech@contoso.com,,Sales
CID-043,Individual,Standard,2/8/1959,6/5/2021,TRUE,Maurice,Boule,Male,(254) 555-0124,,maurice@contoso.com,,Services
CID-044,Government,Local,1/6/1954,1/30/2021,TRUE,Alexis,Bourgeois,Female,(843) 555-0124,,alexis@contoso.com,,Services
CID-045,Individual,Standard,8/28/1983,12/11/2021,TRUE,Archie,Boyle,Male,(385) 555-0177,,archie@contoso.com,,Services
CID-046,Individual,Premium,9/13/1951,5/24/2021,TRUE,Tomaz,Bozic,Male,(430) 555-0140,(559) 555-0203,tomaz@contoso.com,,Services
CID-047,Individual,Premium,5/10/1974,2/11/2019,TRUE,Danielle,Brasseur,Female,(240) 555-0177,,danielle@contoso.com,,Sales
CID-048,Individual,Premium,6/28/1972,2/3/2019,TRUE,Amala,Braun,Female,(508) 555-0147,,amala@contoso.com,,Sales
CID-049,Individual,Standard,10/25/1956,12/16/2019,TRUE,Leonie,Briegel,Female,(812) 555-0109,,leonie@contoso.com,,Sales
CID-050,Individual,Standard,10/10/1976,12/5/2019,TRUE,Quincy,Brooks,Male,(443) 555-0174,,quincy@contoso.com,,Sales
CID-051,Government,Local,7/31/1946,1/31/2020,TRUE,Angel,Brown,Female,(213) 555-0184,,angel@contoso.com,,Services
CID-052,Business,SMB,12/7/1997,5/14/2019,TRUE,Camille,Brunelle,Female,(775) 555-0144,,camille@contoso.com,,Sales
CID-053,Government,State,11/17/1986,8/31/2020,TRUE,Filippa,Bruno,Female,(769) 555-0163,,filippa@contoso.com,,Services
CID-054,Business,SMB,2/28/1959,3/23/2018,TRUE,Yuksel,Bulut,Male,(337) 555-0101,(740) 555-0268,yuksel@contoso.com,,Services
CID-055,Individual,Standard,3/16/1954,8/27/2019,TRUE,Pavel,Bures,Male,(515) 555-0141,,pavel@contoso.com,,Sales
CID-056,Government,Federal,7/10/1969,2/11/2020,TRUE,Jaroslava,Buresova,Female,(318) 555-0174,(458) 555-0285,jaroslava@contoso.com,,Services
CID-057,Individual,Standard,12/28/1965,6/21/2020,TRUE,Victoria,Burke,Female,(928) 555-0117,,victoria@contoso.com,,Sales
CID-058,Individual,Premium,6/4/1962,12/31/2018,TRUE,Klaus,Buzov,Male,(714) 555-0189,,klaus@contoso.com,klaus@fabrikam.com,Sales
CID-059,Individual,Premium,2/4/1963,6/12/2018,TRUE,Martin,Cahua,Male,(601) 555-0105,(870) 555-0296,martin@contoso.com,martin@fabrikam.com,Sales
CID-060,Individual,Standard,12/22/1982,12/7/2020,TRUE,Tuna,Cakir,Male,(847) 555-0147,,tuna@contoso.com,,Sales
CID-061,Individual,Premium,6/26/1998,5/26/2019,TRUE,Quinn,Campbell,Female,(401) 555-0159,,quinn@contoso.com,,Sales
CID-062,Individual,VIP,2/14/1981,9/14/2021,TRUE,Seyhan,Can,Male,(860) 555-0101,,seyhan@contoso.com,,Sales
CID-063,Business,Partner,4/27/1934,4/26/2018,TRUE,Sam,Cantrell,Female,(951) 555-0178,(909) 555-0281,sam@contoso.com,,Services
CID-064,Individual,Standard,7/29/1987,7/29/2020,TRUE,Cataldo,Capon,Male,(364) 555-0106,(325) 555-0231,cataldo@contoso.com,,Sales
CID-065,Individual,VIP,3/11/1993,12/3/2018,TRUE,Christian,Cartier,Male,(718) 555-0145,,christian@contoso.com,,Sales
CID-066,Individual,Premium,2/14/1973,5/30/2020,TRUE,Pere,Castellsegui,Male,(336) 555-0111,(814) 555-0259,pere@contoso.com,,Sales
CID-067,Individual,Standard,1/3/1995,1/7/2020,TRUE,Gianni,Castiglione,Male,(580) 555-0142,,gianni@contoso.com,,Sales
CID-068,Business,SMB,7/29/1960,4/19/2020,TRUE,Hanife,Celik,Female,(219) 555-0162,(414) 555-0287,hanife@contoso.com,,Sales
CID-069,Individual,VIP,2/15/1947,5/27/2018,TRUE,Izabella,Celma,Male,(878) 555-0180,(215) 555-0255,izabella@contoso.com,,Services
CID-070,Government,Local,11/27/1977,9/8/2021,TRUE,Sarmis,Celms,Male,(978) 555-0184,,sarmis@contoso.com,,Services
CID-071,Business,SMB,8/28/1955,3/19/2019,TRUE,Hana,Cermakova,Female,(209) 555-0168,,hana@contoso.com,,Sales
CID-072,Individual,Premium,5/27/1952,4/16/2020,TRUE,Ivana,Cervenkova,Female,(419) 555-0179,,ivana@contoso.com,,Sales
CID-073,Individual,Standard,9/5/1927,11/2/2020,TRUE,Hacer,Cetin,Female,(978) 555-0127,,hacer@contoso.com,,Sales
CID-074,Business,SMB,10/28/1945,7/31/2020,TRUE,Alain,Charon,Male,(510) 555-0192,,alain@contoso.com,,Sales
CID-075,Business,SMB,3/17/1965,10/14/2018,TRUE,Alexandre,Chauvin,Male,(667) 555-0175,,alexandre@contoso.com,,Sales
CID-076,Business,SMB,2/15/1987,12/21/2019,TRUE,Josef,Cizek,Male,(463) 555-0129,,josef@contoso.com,josef@fabrikam.com,Sales
CID-077,Business,SMB,8/28/1972,2/11/2021,TRUE,Hailey,Clark,Female,(609) 555-0115,(865) 555-0297,hailey@contoso.com,,Sales
CID-078,Individual,Standard,5/8/1982,4/25/2019,TRUE,Bartomeu,Collelldemont,Male,(920) 555-0173,,bartomeu@contoso.com,bartomeu@fabrikam.com,Sales
CID-079,Individual,Premium,2/20/1953,1/22/2018,TRUE,Diego,Conticini,Male,(361) 555-0151,,diego@contoso.com,,Sales
CID-080,Individual,Standard,12/21/1970,10/4/2021,TRUE,Hayden,Cook,Female,(518) 555-0136,,hayden@contoso.com,,Sales
CID-081,Business,SMB,4/14/1943,11/14/2019,FALSE,Liane,Cormier,Female,(954) 555-0166,,liane@contoso.com,,Sales
CID-082,Individual,VIP,7/17/1969,6/24/2020,TRUE,Pupetta,Costa,Female,(814) 555-0146,,pupetta@contoso.com,,Sales
CID-083,Individual,Premium,4/9/1979,11/16/2018,TRUE,Gilbert,Coupart,Male,(931) 555-0176,(720) 555-0267,gilbert@contoso.com,gilbert@fabrikam.com,Sales
CID-084,Individual,Premium,6/21/1977,5/6/2018,TRUE,Ingrid,Cranz,Female,(478) 555-0120,,ingrid@contoso.com,,Sales
CID-085,Individual,Standard,8/11/1975,10/4/2018,TRUE,Maciej,Czarnecki,Male,(337) 555-0136,,maciej@contoso.com,,Sales
CID-086,Individual,Standard,8/21/1929,5/12/2021,TRUE,Joanna,Dabrowska,Female,(251) 555-0154,(210) 555-0246,joanna@contoso.com,,Sales
CID-087,Business,SMB,6/11/1981,7/13/2018,TRUE,Mikolaj,Dabrowski,Male,(954) 555-0119,,mikolaj@contoso.com,mikolaj@fabrikam.com,Sales
CID-088,Individual,Standard,12/6/1966,11/27/2019,TRUE,Beca,Davies,Female,(947) 555-0169,(702) 555-0269,beca@contoso.com,,Sales
CID-089,Business,SMB,6/19/1935,8/2/2021,TRUE,Alain,Davignon,Male,(630) 555-0101,,alain@contoso.com,alain@fabrikam.com,Sales
